<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_parameter_reference_audit.csv>
index,Parameter,Reference_value,Units,Range_or_uncertainty,Status,Evidence_or_physiology,Audit_status,Audit_note
0,k_leak,0.00128467,h^-1,0.001-0.012; lognormal CV 0.15,Screened effective,"[10,11,23,24]; Stimulus-independent carrier leakage",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
1,k_pH,0.119497,h^-1,0.020-0.120; lognormal CV 0.15,Screened effective,"[10,11,23,24]; Maximum pH-dependent release contribution",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
2,pH50,6.6309,-,"6.550-6.950; normal SD 0.08, clipped",Screened effective,"[23,24]; pH transition midpoint",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
3,k_ROS,0.0945023,h^-1,0.020-0.150; lognormal CV 0.15,Screened effective,"[21,22,25,26]; Maximum ROS-dependent release contribution",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
4,K_ROS,0.423263,mM,0.200-2.000; lognormal CV 0.15,Screened effective,"[21,22,25,26]; Half-activation ROS concentration",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
5,k_interaction,0.0513427,h^-1,0-0.060; lognormal CV 0.15,Phenomenological,"[21-24,35]; Additional simultaneous pH/ROS release",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
6,n_pH,2.5,-,Fixed,Fixed assumed,Model structure; Steepness of pH response,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
7,n_ROS,1.3,-,Fixed,Fixed assumed,Model structure; Steepness of ROS response,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
8,k_mps,0.08,h^-1,0.080; lognormal CV 0.25,Literature-informed effective,[13-20]; MPS uptake,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
9,k_np_loss,0.006,h^-1,Fixed,Assumed,Model bookkeeping; Irreversible carrier loss,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
10,k_h_in,0.006,h^-1,0.006; lognormal CV 0.25,Literature-informed effective,[13-20]; Healthy-wall carrier entry,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
11,k_h_out,0.01,h^-1,Fixed,Assumed,Model structure; Healthy-wall carrier return,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
12,k_h_loss,0.005,h^-1,Fixed,Assumed,Model structure; Healthy-wall carrier loss,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
13,k_p_in,0.01,h^-1,0.006-0.016 by scenario; lognormal CV 0.30,Exploratory scenario input,[28-34]; Plaque entry,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
14,k_p_out,0.004,h^-1,0.004; lognormal CV 0.25,Literature-informed effective,[13-20]; Plaque carrier return,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
15,k_p_loss,0.004,h^-1,Fixed,Assumed,Model structure; Plaque carrier loss,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
16,k_capcore,0.012,h^-1,0.004-0.012 by scenario; lognormal CV 0.40,Exploratory scenario input,[28-34]; Cap-to-core carrier exchange,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
17,k_core_back,0.002,h^-1,Fixed,Assumed,Model structure; Core-to-cap carrier exchange,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
18,k_core_loss,0.003,h^-1,Fixed,Assumed,Model structure; Core carrier loss,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
19,k_d_h_in,0.008,h^-1,0.008; lognormal CV 0.25,Literature-informed effective,[13-20]; Free-drug entry into healthy wall,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
