<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: convergence_candidate_screening.csv>
index,Mechanism,N,selected_index,k_leak,k_pH,pH50,k_ROS,K_ROS,k_interaction,Plaque_AUC,OffTarget_AUC,ESR,SER,Efficiency
0,Nonresponsive,1000,963,0.0056298828125,0.057219935985368,6.740208,0.0595251978342357,0.7166040570999248,0.0359945380063723,0.4902281183346588,3.092332419825378,2.2889169742294,1.0,0.1368373578374853
1,pH only,1000,13,0.001171875,0.0990123456790123,6.7292,0.1048979591836734,1.866115702479339,0.0284023668639053,1.5699673096782258,3.5359543107888625,11.987993240023632,5.164368916707374,0.3074797120631487
2,ROS only,1000,861,0.0016337890625,0.082185642432556,6.567408,0.1300208246563931,0.2540946656649136,0.042385070550751,1.1604556936935768,3.055182383597724,11.562842707557287,4.988433781329398,0.2752740326416283
3,Dual additive,1000,493,0.0010107421875,0.1165706447187928,6.74456,0.0477217825905872,1.2169797145003751,0.0231588529813381,1.7217796278638526,4.184219897547073,11.645192172839202,5.014160995006341,0.2915306072165753
4,Dual + interaction,1000,493,0.0010107421875,0.1165706447187928,6.74456,0.0477217825905872,1.2169797145003751,0.0231588529813381,1.7241187907211932,4.186710196699433,11.65960153279445,5.0203653452290125,0.2916881531153155
5,Nonresponsive,2000,963,0.0056298828125,0.057219935985368,6.740208,0.0595251978342357,0.7166040570999248,0.0359945380063723,0.4902281183346588,3.092332419825378,2.2889169742294,1.0,0.1368373578374853
6,pH only,2000,1933,0.00125244140625,0.1092546867855509,6.719984,0.1464806330695543,1.0399426268697494,0.012016385980883,1.6121311449529356,3.68810205832501,11.719320937556835,5.049900650350281,0.304162304397457
7,ROS only,2000,1917,0.00142431640625,0.0642615454961133,6.668784,0.1040316534777176,0.2068847756300799,0.0574601729631315,1.1528650942254657,3.019361568722996,12.322233280420976,5.3125588050125865,0.2763189029166382
8,Dual additive,2000,1357,0.00128466796875,0.1194970278920896,6.630896,0.0945022907122032,0.4232634382897343,0.0513427401001365,1.5814125520527589,3.531903177177967,12.892121276325662,5.555825834083278,0.3092734021903777
9,Dual + interaction,2000,1357,0.00128466796875,0.1194970278920896,6.630896,0.0945022907122032,0.4232634382897343,0.0513427401001365,1.597468207567255,3.544567072916245,13.013429378588372,5.608103242431306,0.3106684650007004
10,Nonresponsive,3000,963,0.0056298828125,0.057219935985368,6.740208,0.0595251978342357,0.7166040570999248,0.0359945380063723,0.4902281183346588,3.092332419825378,2.2889169742294,1.0,0.1368373578374853
11,pH only,3000,2797,0.001034912109375,0.112059137326627,6.686192,0.065542928541679,0.246226350659108,0.0398473442806624,1.5362729329549154,3.22028045663186,13.106062894632704,5.643606546277788,0.3229802773407698
12,ROS only,3000,1917,0.00142431640625,0.0642615454961133,6.668784,0.1040316534777176,0.2068847756300799,0.0574601729631315,1.1528650942254657,3.019361568722996,12.322233280420976,5.3125588050125865,0.2763189029166382
13,Dual additive,3000,1357,0.00128466796875,0.1194970278920896,6.630896,0.0945022907122032,0.4232634382897343,0.0513427401001365,1.5814125520527589,3.531903177177967,12.892121276325662,5.555825834083278,0.3092734021903777
14,Dual + interaction,3000,1357,0.00128466796875,0.1194970278920896,6.630896,0.0945022907122032,0.4232634382897343,0.0513427401001365,1.597468207567255,3.544567072916245,13.013429378588372,5.608103242431306,0.3106684650007004
