<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: convergence_sobol.csv>index,N,Parameter,First_Order,Total_Order,Rank
0,512,k_leak,0.187975632453094,0.1550979486958731,3
1,512,k_pH,0.0428616987739427,0.0088643085169723,6
2,512,pH50,0.403777247159928,0.4164531641982492,1
3,512,k_ROS,0.0426731916941853,0.00193342894631,9
4,512,K_ROS,0.0520449650087001,0.004861471907947,7
5,512,k_interaction,0.0447506040691646,0.0002416112744128,10
6,512,k_MPS,0.0476445436068978,0.0025020350148017,8
7,512,k_plaque_in,0.0394460896158451,0.0202184380628452,4
8,512,cap_pH,0.435864496079817,0.4147835270000488,2
9,512,core_ROS,0.077630921186828,0.0106871368224746,5
10,1024,k_leak,0.1494208982693761,0.1624478901223213,3
11,1024,k_pH,0.0201340148632163,0.0092064350649028,6
12,1024,pH50,0.368502394819473,0.412486950210033,2
13,1024,k_ROS,0.0155175348603183,0.0019195643541072,9
14,1024,K_ROS,0.0179848345555857,0.0053241380361947,7
15,1024,k_interaction,0.0153903152472318,0.0002518778191415,10
16,1024,k_MPS,0.0179272915071768,0.0023825816716139,8
17,1024,k_plaque_in,0.0262783369593513,0.0201490400896222,4
18,1024,cap_pH,0.4259859885464184,0.4381145499987384,1
19,1024,core_ROS,0.0326137123774383,0.010961419935384,5
20,2048,k_leak,0.1566375375076893,0.1578495030029224,3
21,2048,k_pH,0.0151383558413539,0.0091333258365206,6
22,2048,pH50,0.3735825830270826,0.4128766516170383,2
23,2048,k_ROS,0.00993818369974,0.0018589746137915,9
24,2048,K_ROS,0.0113491728911382,0.0051328852730811,7
25,2048,k_interaction,0.0115479831179883,0.000244981405382,10
26,2048,k_MPS,0.0126420784853575,0.0024007335429938,8
27,2048,k_plaque_in,0.0288993910995655,0.0200102627685822,4
28,2048,cap_pH,0.4147508212316363,0.4248395310401813,1
29,2048,core_ROS,0.0275230423773981,0.0107058372463256,5
